timestamp(ms),X,Y,Z,class
23953,-2.31,-1.45,-9.92,0
23965,-2.39,-1.45,-9.89,0
23977,-2.39,-1.45,-9.92,0
23989,-2.35,-1.49,-9.96,0
24001,-2.35,-1.45,-9.92,0
24013,-2.31,-1.49,-9.96,0
24025,-2.39,-1.45,-9.92,0
24037,-2.35,-1.45,-9.89,0
24049,-2.35,-1.49,-9.92,0
24061,-2.39,-1.49,-9.96,0
24073,-2.31,-1.49,-9.92,0
24085,-2.35,-1.45,-9.92,0
24097,-2.39,-1.49,-9.92,0
24109,-2.35,-1.49,-9.92,0
24121,-2.39,-1.45,-10.0,0
24133,-2.35,-1.49,-9.92,0
24145,-2.31,-1.53,-9.96,0
24157,-2.31,-1.49,-9.92,0
24169,-2.31,-1.45,-9.96,0
24181,-2.39,-1.45,-9.92,0
24193,-2.31,-1.45,-9.96,0
24205,-2.35,-1.45,-9.96,0
24217,-2.39,-1.49,-9.96,0
24229,-2.28,-1.45,-9.96,0
24241,-2.39,-1.45,-9.92,0
24253,-2.39,-1.41,-10.0,0
24265,-2.31,-1.49,-9.92,0
24277,-2.35,-1.45,-9.96,0
24289,-2.43,-1.49,-9.96,0
24301,-2.39,-1.49,-9.92,0
24313,-2.31,-1.45,-9.96,0
24325,-2.35,-1.45,-9.92,0
24337,-2.31,-1.49,-9.92,0
24349,-2.35,-1.53,-9.96,0
24361,-2.39,-1.49,-9.92,0
24373,-2.31,-1.49,-9.89,0
24385,-2.31,-1.49,-9.92,0
24397,-2.39,-1.53,-9.96,0
24409,-2.35,-1.49,-9.96,0
24421,-2.35,-1.45,-9.92,0
24433,-2.35,-1.45,-9.92,0
24445,-2.35,-1.41,-9.92,0
24457,-2.39,-1.49,-9.96,0
24469,-2.43,-1.49,-9.96,0
24481,-2.31,-1.49,-9.92,0
24493,-2.35,-1.45,-9.96,0
24505,-2.35,-1.49,-9.96,0
24517,-2.35,-1.45,-9.96,0
24529,-2.39,-1.45,-9.89,0
24541,-2.31,-1.45,-9.92,0
24553,-2.35,-1.49,-9.89,0
24565,-2.39,-1.45,-9.92,0
24577,-2.35,-1.49,-9.96,0
24589,-2.43,-1.49,-9.96,0
24601,-2.35,-1.45,-9.92,0
